"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|ES","Actual Total Load [MW] - BZN|ES"
"21.07.2020 21:00 - 21.07.2020 22:00","32807","32538"
"21.07.2020 22:00 - 21.07.2020 23:00","32059","31567"
"21.07.2020 23:00 - 22.07.2020 00:00","29963","29406"
"22.07.2020 00:00 - 22.07.2020 01:00","28360","27977"
"22.07.2020 01:00 - 22.07.2020 02:00","26704","26402"
"22.07.2020 02:00 - 22.07.2020 03:00","25442","25200"
"22.07.2020 03:00 - 22.07.2020 04:00","24840","24538"
"22.07.2020 04:00 - 22.07.2020 05:00","24506","24248"
"22.07.2020 05:00 - 22.07.2020 06:00","24716","24551"
"22.07.2020 06:00 - 22.07.2020 07:00","26336","26184"
"22.07.2020 07:00 - 22.07.2020 08:00","28094","27942"
"22.07.2020 08:00 - 22.07.2020 09:00","30075","29895"
"22.07.2020 09:00 - 22.07.2020 10:00","32233","32066"
"22.07.2020 10:00 - 22.07.2020 11:00","33572","33338"
"22.07.2020 11:00 - 22.07.2020 12:00","34476","34250"
"22.07.2020 12:00 - 22.07.2020 13:00","35555","35464"
"22.07.2020 13:00 - 22.07.2020 14:00","36295","36073"
"22.07.2020 14:00 - 22.07.2020 15:00","35906","35585"
"22.07.2020 15:00 - 22.07.2020 16:00","35132","34806"
"22.07.2020 16:00 - 22.07.2020 17:00","34861","34456"
"22.07.2020 17:00 - 22.07.2020 18:00","34705","34396"
"22.07.2020 18:00 - 22.07.2020 19:00","34088","33844"
"22.07.2020 19:00 - 22.07.2020 20:00","33637","33477"
"22.07.2020 20:00 - 22.07.2020 21:00","32808","32662"
"22.07.2020 21:00 - 22.07.2020 22:00","32457","32417"
"22.07.2020 22:00 - 22.07.2020 23:00","31639","31713"
"22.07.2020 23:00 - 23.07.2020 00:00","29595","29721"
"23.07.2020 00:00 - 23.07.2020 01:00","28117","28284"
"23.07.2020 01:00 - 23.07.2020 02:00","26551","26486"
"23.07.2020 02:00 - 23.07.2020 03:00","25342","25228"
"23.07.2020 03:00 - 23.07.2020 04:00","24687","24776"
"23.07.2020 04:00 - 23.07.2020 05:00","24354","24424"
"23.07.2020 05:00 - 23.07.2020 06:00","24589","24672"
"23.07.2020 06:00 - 23.07.2020 07:00","26216","26258"
"23.07.2020 07:00 - 23.07.2020 08:00","27911","27936"
"23.07.2020 08:00 - 23.07.2020 09:00","29864","29878"
"23.07.2020 09:00 - 23.07.2020 10:00","32076","32151"
"23.07.2020 10:00 - 23.07.2020 11:00","33550","33651"
"23.07.2020 11:00 - 23.07.2020 12:00","34524","34784"
"23.07.2020 12:00 - 23.07.2020 13:00","35748","35961"
"23.07.2020 13:00 - 23.07.2020 14:00","36526","36775"
"23.07.2020 14:00 - 23.07.2020 15:00","36173","36440"
"23.07.2020 15:00 - 23.07.2020 16:00","35405","35686"
"23.07.2020 16:00 - 23.07.2020 17:00","35232","35397"
"23.07.2020 17:00 - 23.07.2020 18:00","34990","35163"
"23.07.2020 18:00 - 23.07.2020 19:00","34412","34589"
"23.07.2020 19:00 - 23.07.2020 20:00","34007","34121"
"23.07.2020 20:00 - 23.07.2020 21:00","33167","33311"
"23.07.2020 21:00 - 23.07.2020 22:00","32769","33011"
"23.07.2020 22:00 - 23.07.2020 23:00","32009","32190"
"23.07.2020 23:00 - 24.07.2020 00:00","29931","29995"
"24.07.2020 00:00 - 24.07.2020 01:00","28652","28796"
"24.07.2020 01:00 - 24.07.2020 02:00","26910","26901"
"24.07.2020 02:00 - 24.07.2020 03:00","25590","25543"
"24.07.2020 03:00 - 24.07.2020 04:00","24963","24847"
"24.07.2020 04:00 - 24.07.2020 05:00","24603","24676"
"24.07.2020 05:00 - 24.07.2020 06:00","24839","24877"
"24.07.2020 06:00 - 24.07.2020 07:00","26379","26336"
"24.07.2020 07:00 - 24.07.2020 08:00","27989","27865"
"24.07.2020 08:00 - 24.07.2020 09:00","29903","29812"
"24.07.2020 09:00 - 24.07.2020 10:00","32184","32033"
"24.07.2020 10:00 - 24.07.2020 11:00","33638","33431"
"24.07.2020 11:00 - 24.07.2020 12:00","34641","34584"
"24.07.2020 12:00 - 24.07.2020 13:00","35775","35906"
"24.07.2020 13:00 - 24.07.2020 14:00","36467","36745"
"24.07.2020 14:00 - 24.07.2020 15:00","36023","36337"
"24.07.2020 15:00 - 24.07.2020 16:00","35137","35475"
"24.07.2020 16:00 - 24.07.2020 17:00","34767","35058"
"24.07.2020 17:00 - 24.07.2020 18:00","34459","34622"
"24.07.2020 18:00 - 24.07.2020 19:00","33882","34043"
"24.07.2020 19:00 - 24.07.2020 20:00","33401","33487"
"24.07.2020 20:00 - 24.07.2020 21:00","32468","32657"
"24.07.2020 21:00 - 24.07.2020 22:00","31955","32114"
"24.07.2020 22:00 - 24.07.2020 23:00","31242","31079"
"24.07.2020 23:00 - 25.07.2020 00:00","29465","29098"
"25.07.2020 00:00 - 25.07.2020 01:00","27915","28001"
"25.07.2020 01:00 - 25.07.2020 02:00","26318","26331"
"25.07.2020 02:00 - 25.07.2020 03:00","24945","24975"
"25.07.2020 03:00 - 25.07.2020 04:00","24086","23952"
"25.07.2020 04:00 - 25.07.2020 05:00","23566","23412"
"25.07.2020 05:00 - 25.07.2020 06:00","23180","23036"
"25.07.2020 06:00 - 25.07.2020 07:00","23122","23122"
"25.07.2020 07:00 - 25.07.2020 08:00","23194","23250"
"25.07.2020 08:00 - 25.07.2020 09:00","24657","24790"
"25.07.2020 09:00 - 25.07.2020 10:00","26629","26868"
"25.07.2020 10:00 - 25.07.2020 11:00","28374","28714"
"25.07.2020 11:00 - 25.07.2020 12:00","29561","29777"
"25.07.2020 12:00 - 25.07.2020 13:00","30598","30694"
"25.07.2020 13:00 - 25.07.2020 14:00","31521","31383"
"25.07.2020 14:00 - 25.07.2020 15:00","31524","31307"
"25.07.2020 15:00 - 25.07.2020 16:00","30811","30717"
"25.07.2020 16:00 - 25.07.2020 17:00","30184","30215"
"25.07.2020 17:00 - 25.07.2020 18:00","29829","29987"
"25.07.2020 18:00 - 25.07.2020 19:00","29695","29799"
"25.07.2020 19:00 - 25.07.2020 20:00","29614","29537"
"25.07.2020 20:00 - 25.07.2020 21:00","29252","29296"
"25.07.2020 21:00 - 25.07.2020 22:00","29426","29625"
"25.07.2020 22:00 - 25.07.2020 23:00","29298","29567"
"25.07.2020 23:00 - 26.07.2020 00:00","27800","27875"
"26.07.2020 00:00 - 26.07.2020 01:00","26285","26234"
"26.07.2020 01:00 - 26.07.2020 02:00","24591","24569"
"26.07.2020 02:00 - 26.07.2020 03:00","23341","23297"
"26.07.2020 03:00 - 26.07.2020 04:00","22474","22373"
"26.07.2020 04:00 - 26.07.2020 05:00","21923","21858"
"26.07.2020 05:00 - 26.07.2020 06:00","21627","21549"
"26.07.2020 06:00 - 26.07.2020 07:00","21496","21527"
"26.07.2020 07:00 - 26.07.2020 08:00","21214","21078"
"26.07.2020 08:00 - 26.07.2020 09:00","22196","22136"
"26.07.2020 09:00 - 26.07.2020 10:00","23888","23792"
"26.07.2020 10:00 - 26.07.2020 11:00","25749","25623"
"26.07.2020 11:00 - 26.07.2020 12:00","27155","26994"
"26.07.2020 12:00 - 26.07.2020 13:00","28360","28315"
"26.07.2020 13:00 - 26.07.2020 14:00","29343","29348"
"26.07.2020 14:00 - 26.07.2020 15:00","29795","29953"
"26.07.2020 15:00 - 26.07.2020 16:00","29092","29385"
"26.07.2020 16:00 - 26.07.2020 17:00","28532","28885"
"26.07.2020 17:00 - 26.07.2020 18:00","28226","28574"
"26.07.2020 18:00 - 26.07.2020 19:00","28106","28561"
"26.07.2020 19:00 - 26.07.2020 20:00","28159","28513"
"26.07.2020 20:00 - 26.07.2020 21:00","28283","28686"
"26.07.2020 21:00 - 26.07.2020 22:00","29113","29448"
"26.07.2020 22:00 - 26.07.2020 23:00","29821","30429"
"26.07.2020 23:00 - 27.07.2020 00:00","28413","28884"
"27.07.2020 00:00 - 27.07.2020 01:00","26932","26983"
"27.07.2020 01:00 - 27.07.2020 02:00","25147","25289"
"27.07.2020 02:00 - 27.07.2020 03:00","23936","24056"
"27.07.2020 03:00 - 27.07.2020 04:00","23274","23344"
"27.07.2020 04:00 - 27.07.2020 05:00","23039","23067"
"27.07.2020 05:00 - 27.07.2020 06:00","23458","23501"
"27.07.2020 06:00 - 27.07.2020 07:00","25550","25475"
"27.07.2020 07:00 - 27.07.2020 08:00","27532","27324"
"27.07.2020 08:00 - 27.07.2020 09:00","29916","29648"
"27.07.2020 09:00 - 27.07.2020 10:00","32415","32197"
"27.07.2020 10:00 - 27.07.2020 11:00","34048","33997"
"27.07.2020 11:00 - 27.07.2020 12:00","35157","35315"
"27.07.2020 12:00 - 27.07.2020 13:00","36452","36737"
"27.07.2020 13:00 - 27.07.2020 14:00","37430","37697"
"27.07.2020 14:00 - 27.07.2020 15:00","37239","37572"
"27.07.2020 15:00 - 27.07.2020 16:00","36675","36952"
"27.07.2020 16:00 - 27.07.2020 17:00","36576","36751"
"27.07.2020 17:00 - 27.07.2020 18:00","36445","36518"
"27.07.2020 18:00 - 27.07.2020 19:00","35935","35801"
"27.07.2020 19:00 - 27.07.2020 20:00","35389","35066"
"27.07.2020 20:00 - 27.07.2020 21:00","34496","34091"
"27.07.2020 21:00 - 27.07.2020 22:00","33966","34066"
"27.07.2020 22:00 - 27.07.2020 23:00","33051","33285"
"27.07.2020 23:00 - 28.07.2020 00:00","30762","30991"
"28.07.2020 00:00 - 28.07.2020 01:00","29346","29280"
"28.07.2020 01:00 - 28.07.2020 02:00","27555","27504"
"28.07.2020 02:00 - 28.07.2020 03:00","26154","26173"
"28.07.2020 03:00 - 28.07.2020 04:00","25399","25502"
"28.07.2020 04:00 - 28.07.2020 05:00","25005","25109"
"28.07.2020 05:00 - 28.07.2020 06:00","25177","25252"
"28.07.2020 06:00 - 28.07.2020 07:00","26713","26860"
"28.07.2020 07:00 - 28.07.2020 08:00","28365","28503"
"28.07.2020 08:00 - 28.07.2020 09:00","30439","30372"
"28.07.2020 09:00 - 28.07.2020 10:00","32831","32675"
"28.07.2020 10:00 - 28.07.2020 11:00","34331","34549"
"28.07.2020 11:00 - 28.07.2020 12:00","35460","35754"
"28.07.2020 12:00 - 28.07.2020 13:00","36738","37183"
"28.07.2020 13:00 - 28.07.2020 14:00","37638","38165"
"28.07.2020 14:00 - 28.07.2020 15:00","37305","37796"
"28.07.2020 15:00 - 28.07.2020 16:00","36568","37045"
"28.07.2020 16:00 - 28.07.2020 17:00","36318","36779"
"28.07.2020 17:00 - 28.07.2020 18:00","36065","36486"
"28.07.2020 18:00 - 28.07.2020 19:00","35397","35722"
"28.07.2020 19:00 - 28.07.2020 20:00","34804","35047"
"28.07.2020 20:00 - 28.07.2020 21:00","33919","34164"
"28.07.2020 21:00 - 28.07.2020 22:00","33638","33942"
"28.07.2020 22:00 - 28.07.2020 23:00","32834","33060"
"28.07.2020 23:00 - 29.07.2020 00:00","30573","30733"
"29.07.2020 00:00 - 29.07.2020 01:00","29199","29341"
"29.07.2020 01:00 - 29.07.2020 02:00","27413","27480"
"29.07.2020 02:00 - 29.07.2020 03:00","26097","26212"
"29.07.2020 03:00 - 29.07.2020 04:00","25403","25452"
"29.07.2020 04:00 - 29.07.2020 05:00","25026","25058"
"29.07.2020 05:00 - 29.07.2020 06:00","25213","25269"
"29.07.2020 06:00 - 29.07.2020 07:00","26820","26763"
"29.07.2020 07:00 - 29.07.2020 08:00","28546","28445"
"29.07.2020 08:00 - 29.07.2020 09:00","30488","30414"
"29.07.2020 09:00 - 29.07.2020 10:00","32744","32776"
"29.07.2020 10:00 - 29.07.2020 11:00","34379","34409"
"29.07.2020 11:00 - 29.07.2020 12:00","35406","35492"
"29.07.2020 12:00 - 29.07.2020 13:00","36718","36902"
"29.07.2020 13:00 - 29.07.2020 14:00","37626","37927"
"29.07.2020 14:00 - 29.07.2020 15:00","37364","37730"
"29.07.2020 15:00 - 29.07.2020 16:00","36688","37093"
"29.07.2020 16:00 - 29.07.2020 17:00","36474","36851"
"29.07.2020 17:00 - 29.07.2020 18:00","36342","36632"
"29.07.2020 18:00 - 29.07.2020 19:00","35679","36144"
"29.07.2020 19:00 - 29.07.2020 20:00","35129","35462"
"29.07.2020 20:00 - 29.07.2020 21:00","34213","34392"
"29.07.2020 21:00 - 29.07.2020 22:00","33893","34196"
"29.07.2020 22:00 - 29.07.2020 23:00","33103","33371"
"29.07.2020 23:00 - 30.07.2020 00:00","30871","31019"
"30.07.2020 00:00 - 30.07.2020 01:00","29490","29569"
"30.07.2020 01:00 - 30.07.2020 02:00","27616","27771"
"30.07.2020 02:00 - 30.07.2020 03:00","26342","26548"
"30.07.2020 03:00 - 30.07.2020 04:00","25647","25780"
"30.07.2020 04:00 - 30.07.2020 05:00","25226","25369"
"30.07.2020 05:00 - 30.07.2020 06:00","25383","25569"
"30.07.2020 06:00 - 30.07.2020 07:00","26891","27074"
"30.07.2020 07:00 - 30.07.2020 08:00","28534","28544"
"30.07.2020 08:00 - 30.07.2020 09:00","30549","30459"
"30.07.2020 09:00 - 30.07.2020 10:00","33021","33012"
"30.07.2020 10:00 - 30.07.2020 11:00","34824","34752"
"30.07.2020 11:00 - 30.07.2020 12:00","36048","36162"
"30.07.2020 12:00 - 30.07.2020 13:00","37507","37783"
"30.07.2020 13:00 - 30.07.2020 14:00","38738","38659"
"30.07.2020 14:00 - 30.07.2020 15:00","38686","38361"
"30.07.2020 15:00 - 30.07.2020 16:00","38005","37680"
"30.07.2020 16:00 - 30.07.2020 17:00","37845","37528"
"30.07.2020 17:00 - 30.07.2020 18:00","37630","37262"
"30.07.2020 18:00 - 30.07.2020 19:00","36998","36322"
"30.07.2020 19:00 - 30.07.2020 20:00","36494","35683"
"30.07.2020 20:00 - 30.07.2020 21:00","35252","34770"
"30.07.2020 21:00 - 30.07.2020 22:00","34794","34357"
"30.07.2020 22:00 - 30.07.2020 23:00","34056","33404"
"30.07.2020 23:00 - 31.07.2020 00:00","31758","31211"
"31.07.2020 00:00 - 31.07.2020 01:00","29884","29702"
"31.07.2020 01:00 - 31.07.2020 02:00","28008","27917"
"31.07.2020 02:00 - 31.07.2020 03:00","26580","26583"
"31.07.2020 03:00 - 31.07.2020 04:00","25744","25803"
"31.07.2020 04:00 - 31.07.2020 05:00","25318","25401"
"31.07.2020 05:00 - 31.07.2020 06:00","25437","25540"
"31.07.2020 06:00 - 31.07.2020 07:00","26722","26935"
"31.07.2020 07:00 - 31.07.2020 08:00","28032","28294"
"31.07.2020 08:00 - 31.07.2020 09:00","29844","29952"
"31.07.2020 09:00 - 31.07.2020 10:00","32366","32283"
"31.07.2020 10:00 - 31.07.2020 11:00","34231","34072"
"31.07.2020 11:00 - 31.07.2020 12:00","35505","35295"
"31.07.2020 12:00 - 31.07.2020 13:00","36920","36829"
"31.07.2020 13:00 - 31.07.2020 14:00","37950","37783"
"31.07.2020 14:00 - 31.07.2020 15:00","37670","37444"
"31.07.2020 15:00 - 31.07.2020 16:00","36766","36683"
"31.07.2020 16:00 - 31.07.2020 17:00","36378","36411"
"31.07.2020 17:00 - 31.07.2020 18:00","36068","36162"
"31.07.2020 18:00 - 31.07.2020 19:00","35421","35588"
"31.07.2020 19:00 - 31.07.2020 20:00","34689","34984"
"31.07.2020 20:00 - 31.07.2020 21:00","33741","34140"
"31.07.2020 21:00 - 31.07.2020 22:00","33365","33868"
"31.07.2020 22:00 - 31.07.2020 23:00","32502","32738"
"31.07.2020 23:00 - 01.08.2020 00:00","30407","30596"
"01.08.2020 00:00 - 01.08.2020 01:00","29082","29293"
"01.08.2020 01:00 - 01.08.2020 02:00","27350","27599"
"01.08.2020 02:00 - 01.08.2020 03:00","25930","26030"
"01.08.2020 03:00 - 01.08.2020 04:00","24959","25007"
"01.08.2020 04:00 - 01.08.2020 05:00","24303","24319"
"01.08.2020 05:00 - 01.08.2020 06:00","23933","23921"
"01.08.2020 06:00 - 01.08.2020 07:00","23921","23986"
"01.08.2020 07:00 - 01.08.2020 08:00","24048","23932"
"01.08.2020 08:00 - 01.08.2020 09:00","25535","25200"
"01.08.2020 09:00 - 01.08.2020 10:00","27644","27264"
"01.08.2020 10:00 - 01.08.2020 11:00","29848","29278"
"01.08.2020 11:00 - 01.08.2020 12:00","31201","30788"
"01.08.2020 12:00 - 01.08.2020 13:00","32336","32041"
"01.08.2020 13:00 - 01.08.2020 14:00","33284","33022"
"01.08.2020 14:00 - 01.08.2020 15:00","33428","33261"
"01.08.2020 15:00 - 01.08.2020 16:00","32696","32729"
"01.08.2020 16:00 - 01.08.2020 17:00","32230","32203"
"01.08.2020 17:00 - 01.08.2020 18:00","31866","31899"
"01.08.2020 18:00 - 01.08.2020 19:00","31568","31546"
"01.08.2020 19:00 - 01.08.2020 20:00","31083","31199"
"01.08.2020 20:00 - 01.08.2020 21:00","30835","30955"
"01.08.2020 21:00 - 01.08.2020 22:00","31184","31256"
"01.08.2020 22:00 - 01.08.2020 23:00","30941","30860"
"01.08.2020 23:00 - 02.08.2020 00:00","29015","28910"
"02.08.2020 00:00 - 02.08.2020 01:00","27255","27361"
"02.08.2020 01:00 - 02.08.2020 02:00","25514","25570"
"02.08.2020 02:00 - 02.08.2020 03:00","24252","24359"
"02.08.2020 03:00 - 02.08.2020 04:00","23251","23453"
"02.08.2020 04:00 - 02.08.2020 05:00","22641","22892"
"02.08.2020 05:00 - 02.08.2020 06:00","22235","22465"
"02.08.2020 06:00 - 02.08.2020 07:00","22070","22357"
"02.08.2020 07:00 - 02.08.2020 08:00","21681","21853"
"02.08.2020 08:00 - 02.08.2020 09:00","22577","22434"
"02.08.2020 09:00 - 02.08.2020 10:00","24224","23946"
"02.08.2020 10:00 - 02.08.2020 11:00","26170","25429"
"02.08.2020 11:00 - 02.08.2020 12:00","27537","26682"
"02.08.2020 12:00 - 02.08.2020 13:00","29015","27948"
"02.08.2020 13:00 - 02.08.2020 14:00","30064","29217"
"02.08.2020 14:00 - 02.08.2020 15:00","30546","29888"
"02.08.2020 15:00 - 02.08.2020 16:00","29957","29554"
"02.08.2020 16:00 - 02.08.2020 17:00","29389","29179"
"02.08.2020 17:00 - 02.08.2020 18:00","28991","28746"
"02.08.2020 18:00 - 02.08.2020 19:00","28817","28513"
"02.08.2020 19:00 - 02.08.2020 20:00","28582","28280"
"02.08.2020 20:00 - 02.08.2020 21:00","28976","28223"
"02.08.2020 21:00 - 02.08.2020 22:00","30044","29209"
"02.08.2020 22:00 - 02.08.2020 23:00","30475","29539"
"02.08.2020 23:00 - 03.08.2020 00:00","28882","27939"
"03.08.2020 00:00 - 03.08.2020 01:00","26628","26142"
"03.08.2020 01:00 - 03.08.2020 02:00","24917","24539"
"03.08.2020 02:00 - 03.08.2020 03:00","23610","23421"
"03.08.2020 03:00 - 03.08.2020 04:00","22959","22763"
"03.08.2020 04:00 - 03.08.2020 05:00","22707","22468"
"03.08.2020 05:00 - 03.08.2020 06:00","23101","22796"
"03.08.2020 06:00 - 03.08.2020 07:00","24790","24567"
"03.08.2020 07:00 - 03.08.2020 08:00","26370","26226"
"03.08.2020 08:00 - 03.08.2020 09:00","28379","28423"
"03.08.2020 09:00 - 03.08.2020 10:00","30754","30505"
"03.08.2020 10:00 - 03.08.2020 11:00","32212","31821"
"03.08.2020 11:00 - 03.08.2020 12:00","33214","32731"
"03.08.2020 12:00 - 03.08.2020 13:00","34347","33642"
"03.08.2020 13:00 - 03.08.2020 14:00","35296","34377"
"03.08.2020 14:00 - 03.08.2020 15:00","35084","34181"
"03.08.2020 15:00 - 03.08.2020 16:00","34209","33356"
"03.08.2020 16:00 - 03.08.2020 17:00","33973","33088"
"03.08.2020 17:00 - 03.08.2020 18:00","33900","32971"
"03.08.2020 18:00 - 03.08.2020 19:00","33490","32608"
"03.08.2020 19:00 - 03.08.2020 20:00","32925","31836"
"03.08.2020 20:00 - 03.08.2020 21:00","32320","31126"
"03.08.2020 21:00 - 03.08.2020 22:00","32405","31370"
"03.08.2020 22:00 - 03.08.2020 23:00","31377","30658"
"03.08.2020 23:00 - 04.08.2020 00:00","29184","28546"
"04.08.2020 00:00 - 04.08.2020 01:00","27028","26838"
"04.08.2020 01:00 - 04.08.2020 02:00","25423","25347"
"04.08.2020 02:00 - 04.08.2020 03:00","24260","24257"
"04.08.2020 03:00 - 04.08.2020 04:00","23600","23482"
"04.08.2020 04:00 - 04.08.2020 05:00","23319","23181"
"04.08.2020 05:00 - 04.08.2020 06:00","23537","23418"
"04.08.2020 06:00 - 04.08.2020 07:00","25060","24814"
"04.08.2020 07:00 - 04.08.2020 08:00","26503","26276"
"04.08.2020 08:00 - 04.08.2020 09:00","28244","28598"
"04.08.2020 09:00 - 04.08.2020 10:00","30193","30651"
"04.08.2020 10:00 - 04.08.2020 11:00","31429","31870"
"04.08.2020 11:00 - 04.08.2020 12:00","32364","32748"
"04.08.2020 12:00 - 04.08.2020 13:00","33415","33765"
"04.08.2020 13:00 - 04.08.2020 14:00","34153","34476"
"04.08.2020 14:00 - 04.08.2020 15:00","33798","34001"
"04.08.2020 15:00 - 04.08.2020 16:00","32966","33238"
"04.08.2020 16:00 - 04.08.2020 17:00","32707","33110"
"04.08.2020 17:00 - 04.08.2020 18:00","32561","33022"
"04.08.2020 18:00 - 04.08.2020 19:00","32262","32528"
"04.08.2020 19:00 - 04.08.2020 20:00","31816","31915"
"04.08.2020 20:00 - 04.08.2020 21:00","31202","31394"
"04.08.2020 21:00 - 04.08.2020 22:00","31501","31820"
"04.08.2020 22:00 - 04.08.2020 23:00","30671","31086"
"04.08.2020 23:00 - 05.08.2020 00:00","28578","29045"
"05.08.2020 00:00 - 05.08.2020 01:00","27148","27249"
"05.08.2020 01:00 - 05.08.2020 02:00","25531","25721"
"05.08.2020 02:00 - 05.08.2020 03:00","24398","24406"
"05.08.2020 03:00 - 05.08.2020 04:00","23653","23715"
"05.08.2020 04:00 - 05.08.2020 05:00","23369","23492"
"05.08.2020 05:00 - 05.08.2020 06:00","23586","23654"
"05.08.2020 06:00 - 05.08.2020 07:00","24962","25127"
"05.08.2020 07:00 - 05.08.2020 08:00","26424","26525"
"05.08.2020 08:00 - 05.08.2020 09:00","28455","28819"
"05.08.2020 09:00 - 05.08.2020 10:00","30556","31007"
"05.08.2020 10:00 - 05.08.2020 11:00","31964","32550"
"05.08.2020 11:00 - 05.08.2020 12:00","33040","33702"
"05.08.2020 12:00 - 05.08.2020 13:00","34211","34860"
"05.08.2020 13:00 - 05.08.2020 14:00","35047","35595"
"05.08.2020 14:00 - 05.08.2020 15:00","34773","35333"
"05.08.2020 15:00 - 05.08.2020 16:00","33924","34713"
"05.08.2020 16:00 - 05.08.2020 17:00","33799","34493"
"05.08.2020 17:00 - 05.08.2020 18:00","33768","34244"
"05.08.2020 18:00 - 05.08.2020 19:00","33388","33749"
"05.08.2020 19:00 - 05.08.2020 20:00","32815","33069"
"05.08.2020 20:00 - 05.08.2020 21:00","32128","32266"
"05.08.2020 21:00 - 05.08.2020 22:00","32331","32497"
"05.08.2020 22:00 - 05.08.2020 23:00","31557","31844"
"05.08.2020 23:00 - 06.08.2020 00:00","29297","29861"
"06.08.2020 00:00 - 06.08.2020 01:00","27919","27825"
"06.08.2020 01:00 - 06.08.2020 02:00","26237","26205"
"06.08.2020 02:00 - 06.08.2020 03:00","24934","25032"
"06.08.2020 03:00 - 06.08.2020 04:00","24199","24202"
"06.08.2020 04:00 - 06.08.2020 05:00","23888","23786"
"06.08.2020 05:00 - 06.08.2020 06:00","24045","23759"
"06.08.2020 06:00 - 06.08.2020 07:00","25420","25180"
"06.08.2020 07:00 - 06.08.2020 08:00","26805","26600"
"06.08.2020 08:00 - 06.08.2020 09:00","28898","28696"
"06.08.2020 09:00 - 06.08.2020 10:00","31202","31048"
"06.08.2020 10:00 - 06.08.2020 11:00","32863","32717"
"06.08.2020 11:00 - 06.08.2020 12:00","34193","34007"
"06.08.2020 12:00 - 06.08.2020 13:00","35562","35357"
"06.08.2020 13:00 - 06.08.2020 14:00","36501","36211"
"06.08.2020 14:00 - 06.08.2020 15:00","36279","35990"
"06.08.2020 15:00 - 06.08.2020 16:00","35559","35215"
"06.08.2020 16:00 - 06.08.2020 17:00","35474","34985"
"06.08.2020 17:00 - 06.08.2020 18:00","35195","34883"
"06.08.2020 18:00 - 06.08.2020 19:00","34555","34468"
"06.08.2020 19:00 - 06.08.2020 20:00","33852","33770"
"06.08.2020 20:00 - 06.08.2020 21:00","33057","32990"
"06.08.2020 21:00 - 06.08.2020 22:00","33048","33092"
"06.08.2020 22:00 - 06.08.2020 23:00","32280","32130"
"06.08.2020 23:00 - 07.08.2020 00:00","30111","30017"
"07.08.2020 00:00 - 07.08.2020 01:00","28334","28217"
"07.08.2020 01:00 - 07.08.2020 02:00","26608","26459"
"07.08.2020 02:00 - 07.08.2020 03:00","25286","25148"
"07.08.2020 03:00 - 07.08.2020 04:00","24454","24385"
"07.08.2020 04:00 - 07.08.2020 05:00","24062","23817"
"07.08.2020 05:00 - 07.08.2020 06:00","24119","23966"
"07.08.2020 06:00 - 07.08.2020 07:00","25446","25387"
"07.08.2020 07:00 - 07.08.2020 08:00","26861","26822"
"07.08.2020 08:00 - 07.08.2020 09:00","28941","28846"
"07.08.2020 09:00 - 07.08.2020 10:00","31204","31276"
"07.08.2020 10:00 - 07.08.2020 11:00","32865","32890"
"07.08.2020 11:00 - 07.08.2020 12:00","34107","34257"
"07.08.2020 12:00 - 07.08.2020 13:00","35466","35420"
"07.08.2020 13:00 - 07.08.2020 14:00","36301","36228"
"07.08.2020 14:00 - 07.08.2020 15:00","36094","35967"
"07.08.2020 15:00 - 07.08.2020 16:00","35164","35111"
"07.08.2020 16:00 - 07.08.2020 17:00","34802","34752"
"07.08.2020 17:00 - 07.08.2020 18:00","34487","34514"
"07.08.2020 18:00 - 07.08.2020 19:00","34036","34009"
"07.08.2020 19:00 - 07.08.2020 20:00","33350","33445"
"07.08.2020 20:00 - 07.08.2020 21:00","32491","32626"
"07.08.2020 21:00 - 07.08.2020 22:00","32432","32716"
"07.08.2020 22:00 - 07.08.2020 23:00","31585","31380"
"07.08.2020 23:00 - 08.08.2020 00:00","29718","29506"
"08.08.2020 00:00 - 08.08.2020 01:00","27805","27822"
"08.08.2020 01:00 - 08.08.2020 02:00","26272","26050"
"08.08.2020 02:00 - 08.08.2020 03:00","24988","24638"
"08.08.2020 03:00 - 08.08.2020 04:00","24057","23848"
"08.08.2020 04:00 - 08.08.2020 05:00","23381","23218"
"08.08.2020 05:00 - 08.08.2020 06:00","23006","22874"
"08.08.2020 06:00 - 08.08.2020 07:00","23255","23182"
"08.08.2020 07:00 - 08.08.2020 08:00","23432","23096"
"08.08.2020 08:00 - 08.08.2020 09:00","24777","24279"
"08.08.2020 09:00 - 08.08.2020 10:00","26625","26465"
"08.08.2020 10:00 - 08.08.2020 11:00","28406","28335"
"08.08.2020 11:00 - 08.08.2020 12:00","29775","29618"
"08.08.2020 12:00 - 08.08.2020 13:00","30889","30634"
"08.08.2020 13:00 - 08.08.2020 14:00","31753","31395"
"08.08.2020 14:00 - 08.08.2020 15:00","31948","31742"
"08.08.2020 15:00 - 08.08.2020 16:00","31571","31249"
"08.08.2020 16:00 - 08.08.2020 17:00","31154","30754"
"08.08.2020 17:00 - 08.08.2020 18:00","30851","30346"
"08.08.2020 18:00 - 08.08.2020 19:00","30639","30012"
"08.08.2020 19:00 - 08.08.2020 20:00","30155","29643"
"08.08.2020 20:00 - 08.08.2020 21:00","29861","29230"
"08.08.2020 21:00 - 08.08.2020 22:00","30448","29892"
"08.08.2020 22:00 - 08.08.2020 23:00","29842","29327"
"08.08.2020 23:00 - 09.08.2020 00:00","28027","27505"
